id_osoby,login,jmeno,prijmeni,heslo,email
1,cernym0,Martin,Černý,679ea39e4d0980a5bf670eae556a2253,cernym0@telekom.ad12.cz
2,markoj0,Jana,Marková,2466814549860d545146fc285e9b71f8,""
5,nemcol0,Libuše,Němcová,b49f73766569403c7a562ece6613169b,nemcol0@uit.ad12.cz
6,cernym2,Milan,Černý,59dd415789c0f5b9f2a82083dfc118cf,cernym2@infrast.ad12.cz
9,bartov0,Věra,Bartošová,cb16629022be7dd3289dc960465adfbc,bartov0@sez.ad12.cz
11,pokorj0,Jan,Pokorný,3cb53ca187240fe5965a7181cc3c04df,pokorj0@telekom.ad12.cz
14,vesela0,Antonín,Veselý,e37405b0d1a4a187e055d1b6836814a4,""
16,blazki0,Ivana,Blažková,d1dbb3c6f4b4fcb3cfeecfeab6649866,""
19,prochm0,Miroslav,Procházka,0e1e0b1321c31d10ce6cf8bb01929170,prochm0@infrast.ad12.cz
21,svoboe0,Eva,Svobodová,bd454ceb07bd2174f910c91a72b37b87,svoboe0@uit.ad12.cz
24,cernyj2,Jan,Černý,4aa63e8bef00b5f2ad47953fdbdece1b,cernyj2@infrast.ad12.cz
27,ruzich0,Hana,Růžičková,bd0d515bb2ab79881e91e80cb34e8e8d,ruzich0@infrast.ad12.cz
28,prochv0,Věra,Procházková,1e825640bd056f848e09c13e8b1388e2,""
29,horakj0,Jiří,Horák,2533f72b26aa8ab29ac316b6be95028e,horakj0@uit.ad12.cz
32,svobob0,Barbora,Svobodová,604192a610090f1006c99defbe3e8c91,svobob0@sez.ad12.cz
33,veselj0,Josef,Veselý,aebe8503f077ef3811f7c59fb8bc7bfa,veselj0@telekom.ad12.cz
34,pospij0,Jiří,Pospíšil,f7ed575f1b79b8af076462178653f1bf,pospij0@uit.ad12.cz
36,cermap0,Petr,Čermák,9d42e8b0da1826b18a0f3bdd450670a6,cermap0@telekom.ad12.cz
39,svoboh0,Hana,Svobodová,c11d1b01a8c2f50fca049b52b4b0f96d,svoboh0@telekom.ad12.cz
43,novakp1,Pavlína,Nováková,6159015bb828b3956e0a4f0a47c8ad98,novakp1@sez.ad12.cz
44,novotl0,Ladislav,Novotný,3e9add85cea46ca696de84055bbc0b07,novotl0@telekom.ad12.cz
46,prochm1,Marie,Procházková,bb6776c389416c76d0b14576a442c72e,prochm1@uit.ad12.cz
47,jelinj0,Jana,Jelínková,bc4b19d6145da0e713fd81c6ebb3f13c,jelinj0@infrast.ad12.cz
48,fialol0,Lucie,Fialová,767d2fc03f18f15d9217c5ecb2ee890e,""
50,cernah1,Hana,Černá,8de6ddf4f89dae63f62f893027b2f70e,cernah1@sez.ad12.cz
52,navram0,Marie,Navrátilová,10840f7825d9a8b79445e6daa971dfca,""
65,svobom0,Marie,Svobodová,f5637f955de4243b7c28a0e8e7782ae8,svobom0@telekom.ad12.cz
66,pospiz0,Zuzana,Pospíšilová,9e2425bcf4f5e44ebbfe63e03d35df49,""
67,fialom0,Marie,Fialová,ee0d9f6b1610e7eb061bef6696b588a6,""
69,horakj1,Jaroslav,Horák,8cdd833841cb344f66e0a1eec5fe9cfb,horakj1@telekom.ad12.cz
71,cernyj3,Jiří,Černý,eed3fbada9804cd98ba624e35b271eeb,cernyj3@uit.ad12.cz
72,nemecj0,Jan,Němec,5788b6495e133079a2c4d8b9dd7ce8e7,nemecj0@infrast.ad12.cz
74,kratog0,Gabriela,Kratochvílová,884b053357fe5d8a7f29d51a9aed2482,""
78,prochj0,Jana,Procházková,e6c70bd268cae399bf8936522c2c473f,prochj0@uit.ad12.cz
81,kovari0,Irena,Kovářová,1db5cd25fd000fb788c46bd56b07832b,kovari0@merici.ad12.cz
82,svobok0,Kateřina,Svobodová,973e8552504ebee6c3ec4502f0a5fbeb,svobok0@uit.ad12.cz
86,novakm0,Miroslav,Novák,78bdad4f2f9c219711982470ed432df7,novakm0@telekom.ad12.cz
87,novakm1,Milan,Novák,37795238820d4f7b1ff29759e728e944,novakm1@infrast.ad12.cz
88,pospim0,Miroslav,Pospíšil,8ec12e7ced3bc5db750b55215d865d04,""
89,novotm1,Markéta,Novotná,b95bdc4d4f1ca3e1cf55528900f84c10,novotm1@infrast.ad12.cz
